Node,X,Y,Z,Thickness,Theta,Radius,Alpha
39.0,-10.427886,-10.7823553,2.170498468205012e-17,0.145,135.95744805938622,14.999999741481135,
40.0,-11.1247816,-10.0617714,-6.50906019445494e-17,0.145,132.12766080420582,15.000000311785213,
41.0,-11.7719908,-9.29624844,-1.5159549783437571e-16,0.145,128.2978726076862,15.0000000817829,
42.0,-12.3666239,-8.48920631,-2.374233520275573e-16,0.55,124.46808370605592,15.000000348593163,
43.0,-12.906024,-7.644249440000001,-3.2219076863694866e-16,0.55,120.63829661314622,15.00000016631721,
44.0,-13.3877821,-6.765151980000001,-4.055191389197427e-16,0.55,116.80851204641647,14.99999969565261,
45.0,-13.8097486,-5.855839250000001,-4.870364813092852e-16,0.55,112.9787233880742,15.000000323901414,
46.0,-14.1700363,-4.920372960000001,-5.663785301260808e-16,0.145,109.14893659651756,14.999999960293895,
47.0,-14.4670372,-3.9629309200000007,-6.431910066852806e-16,0.145,105.31914896775558,14.999999560762523,
48.0,-14.6994257,-2.9877898700000007,-7.1713086659944785e-16,0.145,101.48936195721265,15.000000140569837,
49.0,-14.8661623,-1.9993042900000009,-7.87867823851499e-16,0.145,97.6595743257273,14.999999972465123,
50.0,-14.9665031,-1.001889470000001,-8.550859691654501e-16,0.145,93.82978711640962,14.999999918413549,
51.0,-15.0,-9.18485099360515e-16,-9.18485099360515e-16,0.145,90.0,15.0,
52.0,-14.9665031,1.0018894699999992,-9.777820424189439e-16,0.145,86.17021288359035,14.999999918413549,
53.0,-14.8661623,1.999304289999999,-1.032711983778506e-15,0.145,82.3404256742727,14.999999972465123,
54.0,-14.6994257,2.987789869999999,-1.0830295966814864e-15,0.145,78.51063804278738,15.000000140569837,
55.0,-14.4670372,3.962930919999999,-1.1285100733272882e-15,0.145,74.68085103224439,14.999999560762523,
56.0,-14.1700363,4.920372959999999,-1.1689504297335996e-15,0.145,70.85106340348244,14.999999960293895,
57.0,-13.8097486,5.855839249999999,-1.204169960692679e-15,0.145,67.02127661192583,15.000000323901414,
58.0,-13.3877821,6.765151979999999,-1.2340113107249806e-15,0.145,63.19148795358353,14.999999695652608,
59.0,-12.906024,7.644249439999999,-1.2583413294949435e-15,0.145,59.361703386853776,15.00000016631721,
60.0,-12.3666239,8.48920631,-1.2770512855118586e-15,0.145,55.53191629394405,15.000000348593163,
61.0,-11.7719908,9.29624844,-1.2900575874468333e-15,0.145,51.7021273923138,15.0000000817829,
62.0,-11.1247816,10.0617714,-1.2973022158207877e-15,0.145,47.87233919579421,15.000000311785213,
63.0,-10.427886,10.7823553,-1.2987527058593998e-15,0.145,44.04255194061375,14.999999741481135,
64.0,-9.68441772,11.4547825,-1.2944026942979014e-15,0.145,40.21276690707293,14.999999623258537,
65.0,-8.8976965,12.0760508,-1.2842716248535221e-15,0.145,36.38297972831572,15.00000019767643,
66.0,-8.07123566,12.643384,-1.2684046331086916e-15,0.145,32.55319280307566,15.000000135023718,
67.0,-7.208726410000001,13.1542492,-1.246872645095106e-15,0.145,28.72340402236216,15.000000282331069,
68.0,-6.314021590000001,13.6063633,-1.21977177966609e-15,0.145,24.893618206200472,14.99999969635243,
69.0,-5.391116620000001,13.9977093,-1.1872231801076618e-15,0.145,21.06382970055779,15.000000135258224,
70.0,-4.444133760000001,14.3265371,-1.1493720993273748e-15,0.145,17.23404312888215,14.999999671814935,
71.0,-3.4773023100000007,14.5913801,-1.1063877039108293e-15,0.145,13.40425540008897,15.000000152593577,
72.0,-2.4949402800000007,14.7910538,-1.0584618660076048e-15,0.145,9.574467945423862,14.99999998384203,
73.0,-1.501435400000001,14.9246674,-1.0058087108242688e-15,0.145,5.7446808821025,15.00000017536653,
74.0,-0.5012246370000009,14.9916239,-9.486633685255903e-16,0.145,1.9148934911891047,15.000000443192894,
75.0,0.5012246369999991,14.9916239,-8.872810537900058e-16,0.145,358.0851065088109,15.000000443192894,
76.0,1.5014353999999992,14.9246674,-8.219359051506163e-16,0.145,354.25531911789756,15.00000017536653,
77.0,2.494940279999999,14.7910538,-7.529198032110247e-16,0.145,350.42553205457614,14.99999998384203,
78.0,3.477302309999999,14.5913801,-6.805409895499095e-16,0.145,346.59574459991103,15.000000152593577,
79.0,4.444133759999999,14.3265371,-6.051226809107056e-16,0.145,342.76595687111785,14.999999671814935,
80.0,5.391116619999999,13.9977093,-5.27001808856352e-16,0.145,338.93617029944227,15.000000135258224,
81.0,6.314021589999999,13.6063633,-4.465271466720118e-16,0.145,335.1063817937995,14.99999969635243,
82.0,7.208726409999999,13.1542492,-3.6405827270155713e-16,0.145,331.27659597763784,15.000000282331067,
83.0,8.07123566,12.643384,-2.7996334149039423e-16,0.145,327.44680719692434,15.000000135023718,
84.0,8.8976965,12.0760508,-1.9461807100256135e-16,0.145,323.6170202716843,15.00000019767643,
85.0,9.68441772,11.4547825,-1.0840357805751034e-16,0.145,319.78723309292707,14.999999623258537,
86.0,10.427886,10.7823553,-2.170498468205012e-17,0.145,315.95744805938625,14.999999741481135,
87.0,11.1247816,10.0617714,6.50906019445494e-17,0.145,312.12766080420585,15.000000311785213,
88.0,11.7719908,9.29624844,1.5159549783437571e-16,0.145,308.29787260768626,15.0000000817829,
89.0,12.3666239,8.48920631,2.374233520275573e-16,0.145,304.46808370605595,15.000000348593163,
90.0,12.906024,7.644249440000001,3.2219076863694866e-16,0.145,300.6382966131462,15.00000016631721,
91.0,13.3877821,6.765151980000001,4.055191389197427e-16,0.145,296.80851204641647,14.99999969565261,
92.0,13.8097486,5.855839250000001,4.870364813092852e-16,0.145,292.97872338807423,15.000000323901414,
93.0,14.1700363,4.920372960000001,5.663785301260808e-16,0.145,289.14893659651756,14.999999960293895,
94.0,14.4670372,3.9629309200000007,6.431910066852806e-16,0.145,285.3191489677556,14.999999560762523,
95.0,14.6994257,2.9877898700000007,7.1713086659944785e-16,0.145,281.4893619572127,15.000000140569837,
96.0,14.8661623,1.9993042900000009,7.87867823851499e-16,0.145,277.65957432572736,14.999999972465123,
97.0,14.9665031,1.001889470000001,8.550859691654501e-16,0.145,273.82978711640965,14.999999918413549,
98.0,15.0,9.797174393178826e-16,1.0000000000000009,0.145,270.0,15.0,
99.0,15.0,1.0409497792752503e-15,2.000000000000001,0.145,270.0,15.0,
100.0,15.0,1.102182119232618e-15,3.000000000000001,0.145,270.0,15.0,
101.0,15.0,1.1634144591899857e-15,4.000000000000001,0.145,270.0,15.0,
102.0,15.0,1.2246467991473533e-15,5.000000000000001,0.145,270.0,15.0,
103.0,15.0,1.285879139104721e-15,6.000000000000001,0.145,270.0,15.0,
104.0,15.0,1.3471114790620886e-15,7.000000000000001,0.145,270.0,15.0,
105.0,15.0,1.4083438190194562e-15,8.000000000000002,0.145,270.0,15.0,
106.0,15.0,1.469576158976824e-15,9.000000000000002,0.145,270.0,15.0,
107.0,15.0,1.5308084989341917e-15,10.000000000000002,0.145,270.0,15.0,
108.0,15.0,1.5920408388915593e-15,11.000000000000002,0.145,270.0,15.0,
109.0,15.0,1.6532731788489269e-15,12.000000000000002,0.145,270.0,15.0,
110.0,15.0,1.7145055188062944e-15,13.000000000000002,0.145,270.0,15.0,
111.0,15.0,1.7757378587636622e-15,14.000000000000002,0.145,270.0,15.0,
112.0,15.000000000000002,1.83697019872103e-15,15.000000000000002,0.145,270.0,15.000000000000002,
113.0,15.000000000000002,1.8982025386783976e-15,16.0,0.145,270.0,15.000000000000002,
114.0,15.000000000000002,1.959434878635765e-15,17.0,0.145,270.0,15.000000000000002,
115.0,15.000000000000002,2.020667218593133e-15,18.0,0.145,270.0,15.000000000000002,
116.0,15.000000000000002,2.0818995585505007e-15,19.0,0.145,270.0,15.000000000000002,
117.0,15.000000000000002,2.1431318985078682e-15,20.0,0.145,270.0,15.000000000000002,
118.0,15.000000000000002,2.204364238465236e-15,21.0,0.145,270.0,15.000000000000002,
119.0,15.000000000000002,2.2655965784226034e-15,22.0,0.145,270.0,15.000000000000002,
120.0,15.000000000000002,2.326828918379971e-15,23.0,0.145,270.0,15.000000000000002,
121.0,15.000000000000002,2.3880612583373385e-15,24.0,0.145,270.0,15.000000000000002,
122.0,15.000000000000002,2.4492935982947065e-15,25.0,0.125,270.0,15.000000000000002,
123.0,15.000000000000002,2.510525938252074e-15,26.0,0.12397287830431228,270.0,15.000000000000002,
124.0,15.000000000000002,2.571758278209442e-15,27.0,0.12403333010686825,270.0,15.000000000000002,
125.0,15.000000000000002,2.6329906181668096e-15,28.0,0.12373310552706379,270.0,15.000000000000002,
126.0,15.000000000000002,2.6942229581241772e-15,29.0,0.1242562842726661,270.0,15.000000000000002,
127.0,14.966503100000002,-1.0018894699999974,30.0,0.12009760801802553,266.17021288359035,14.99999991841355,
128.0,14.866162300000001,-1.9993042899999973,30.0,0.11954311713316246,262.3404256742727,14.999999972465124,
129.0,14.699425700000003,-2.987789869999997,30.0,0.12023424865839125,258.5106380427874,15.000000140569838,
130.0,14.467037200000002,-3.962930919999997,30.0,0.12083405983155242,254.6808510322444,14.999999560762523,
131.0,14.170036300000001,-4.920372959999997,30.0,0.12241157770324002,250.85106340348244,14.999999960293895,
132.0,13.809748600000002,-5.855839249999997,30.0,0.12411089387831728,247.0212766119258,15.000000323901416,
133.0,13.387782100000003,-6.765151979999997,30.0,0.12158410209695927,243.19148795358356,14.99999969565261,
134.0,12.906024000000002,-7.644249439999998,30.0,0.11925632896947841,239.36170338685378,15.00000016631721,
135.0,12.366623900000002,-8.489206309999998,30.0,0.11889753758768269,235.5319162939441,15.000000348593163,
136.0,11.771990800000001,-9.296248439999998,30.0,0.11919302460914685,231.7021273923138,15.000000081782902,
137.0,11.124781600000002,-10.061771399999998,30.0,0.11985618042664652,227.87233919579415,15.000000311785215,
138.0,10.427886000000003,-10.782355299999999,30.0,0.1203652095507445,224.04255194061378,14.999999741481135,
139.0,9.684417720000003,-11.454782499999999,30.0,0.12162626535171345,220.21276690707296,14.999999623258539,
140.0,8.897696500000002,-12.076050799999999,30.0,0.12273951022309335,216.38297972831572,15.000000197676428,
141.0,8.071235660000001,-12.643383999999998,30.0,0.12439075528230242,212.5531928030757,15.000000135023718,
142.0,7.208726410000002,-13.154249199999999,30.0,0.12493653421123951,208.7234040223622,15.000000282331069,
143.0,6.314021590000003,-13.606363299999998,30.0,0.12414758587812337,204.89361820620047,14.999999696352429,
144.0,5.391116620000003,-13.997709299999999,30.0,0.12447277601927281,201.06382970055776,15.000000135258222,
145.0,4.444133760000002,-14.326537099999998,30.0,0.12256451255529208,197.23404312888215,14.999999671814933,
146.0,3.4773023100000024,-14.591380099999999,30.0,0.12098915230409868,193.404255400089,15.000000152593577,
147.0,2.4949402800000025,-14.791053799999998,30.0,0.12037697845229532,189.57446794542386,14.999999983842029,
148.0,1.5014354000000028,-14.924667399999999,30.0,0.12271615820792202,185.7446808821025,15.000000175366528,
149.0,0.5012246370000027,-14.991623899999999,30.0,0.12453532554893404,181.91489349118908,15.000000443192892,
150.0,-0.5012246369999972,-14.991623899999999,30.0,0.12433694770707313,178.08510650881095,15.000000443192892,
151.0,-1.5014353999999974,-14.924667399999999,30.0,0.12412921956164935,174.25531911789753,15.000000175366528,
152.0,-2.494940279999997,-14.791053799999998,30.0,0.12404091748414905,170.42553205457614,14.999999983842029,
153.0,-3.477302309999997,-14.591380099999999,30.0,0.12430978399828313,166.59574459991103,15.000000152593575,
154.0,-4.444133759999997,-14.326537099999998,30.0,0.12475145628380217,162.76595687111785,14.999999671814932,
155.0,-5.391116619999997,-13.997709299999999,30.0,0.12435376250238683,158.93617029944227,15.00000013525822,
156.0,-6.314021589999998,-13.606363299999998,30.0,0.12387222116012248,155.10638179379953,14.999999696352427,
157.0,-7.208726409999997,-13.154249199999999,30.0,0.12413849959518253,151.27659597763784,15.000000282331067,
158.0,-8.071235659999997,-12.643383999999998,30.0,0.12480874206196091,147.44680719692434,15.000000135023717,
159.0,-8.897696499999999,-12.076050799999999,30.0,0.1247040882231605,143.61702027168428,15.000000197676426,
160.0,-9.684417719999999,-11.454782499999999,30.0,0.12437751196138594,139.78723309292704,14.999999623258535,
161.0,-10.427885999999999,-10.782355299999999,30.0,0.1241969432788465,135.95744805938622,14.999999741481133,
162.0,-11.124781599999999,-10.061771399999998,30.0,0.12356363850874823,132.12766080420582,15.000000311785211,
163.0,-11.771990799999998,-9.296248439999998,30.0,0.55,128.2978726076862,15.000000081782899,
164.0,-12.366623899999999,-8.489206309999998,30.0,0.55,124.46808370605592,15.000000348593161,
165.0,-12.906023999999999,-7.644249439999999,30.0,0.5500000000000002,120.63829661314622,15.000000166317209,
166.0,-13.387782099999999,-6.765151979999999,30.0,0.55,116.80851204641647,14.999999695652606,
167.0,-13.809748599999999,-5.855839249999999,30.0,0.55,112.9787233880742,15.000000323901412,
168.0,-14.170036299999998,-4.920372959999999,30.0,0.11612168405330188,109.14893659651756,14.999999960293893,
169.0,-14.467037199999998,-3.962930919999999,30.0,0.1167954706415977,105.31914896775558,14.999999560762522,
170.0,-14.699425699999999,-2.987789869999999,30.0,0.11927365880200115,101.48936195721265,15.000000140569837,
171.0,-14.866162299999997,-1.999304289999999,30.0,0.1211392781590994,97.6595743257273,14.99999997246512,
172.0,-14.966503099999999,-1.0018894699999992,30.0,0.12174124316458323,93.82978711640962,14.999999918413549,
173.0,-14.999999999999998,9.18485099360515e-16,30.0,0.12090402764873051,90.0,14.999999999999998,
174.0,-14.966503099999999,1.001889470000001,30.0,0.1207829135487126,86.17021288359035,14.999999918413549,
175.0,-14.866162299999997,1.9993042900000009,30.0,0.12147090118110193,82.3404256742727,14.99999997246512,
176.0,-14.699425699999999,2.9877898700000007,30.0,0.1221121325028866,78.51063804278738,15.000000140569837,
177.0,-14.467037199999998,3.9629309200000007,30.0,0.12257598770369435,74.68085103224439,14.999999560762522,
178.0,-14.170036299999998,4.920372960000001,30.0,0.12288745787987955,70.85106340348244,14.999999960293893,
179.0,-13.809748599999999,5.855839250000001,30.0,0.12489445545217209,67.02127661192583,15.000000323901414,
180.0,-13.387782099999999,6.765151980000001,30.0,0.12281999227764646,63.19148795358353,14.999999695652606,
181.0,-12.906023999999999,7.644249440000001,30.0,0.12144224468101167,59.36170338685372,15.000000166317209,
182.0,-12.366623899999999,8.489206310000002,30.0,0.12155578078665838,55.53191629394405,15.000000348593163,
183.0,-11.771990799999998,9.296248440000001,30.0,0.12195188980479507,51.70212739231374,15.0000000817829,
184.0,-11.124781599999999,10.061771400000001,30.0,0.1222111087554501,47.8723391957941,15.000000311785215,
185.0,-10.427885999999999,10.782355300000003,30.0,0.12264264944991375,44.04255194061375,14.999999741481135,
186.0,-9.684417719999999,11.454782500000002,30.0,0.12236217593520748,40.21276690707293,14.999999623258537,
187.0,-8.897696499999999,12.076050800000003,30.0,0.12092969390873055,36.38297972831572,15.000000197676428,
188.0,-8.071235659999997,12.643384000000001,30.0,0.11937332837549028,32.55319280307566,15.00000013502372,
189.0,-7.208726409999999,13.154249200000002,30.0,0.11784861426705176,28.72340402236216,15.00000028233107,
190.0,-6.314021589999999,13.606363300000002,30.0,0.11839654881712691,24.893618206200472,14.999999696352432,
191.0,-5.391116619999999,13.997709300000002,30.0,0.12022197653588423,21.063829700557733,15.000000135258224,
192.0,-4.444133759999999,14.326537100000001,30.0,0.12239661679778648,17.23404312888215,14.999999671814937,
193.0,-3.477302309999999,14.591380100000002,30.0,0.12377207100137493,13.40425540008897,15.000000152593579,
194.0,-2.494940279999999,14.791053800000002,30.0,0.12424883665609429,9.574467945423862,14.999999983842033,
195.0,-1.5014353999999992,14.924667400000002,30.0,0.12440400005545646,5.744680882102443,15.000000175366532,
196.0,-0.501224636999999,14.991623900000002,30.0,0.12382591047647762,1.9148934911890478,15.000000443192896,
197.0,0.501224637000001,14.991623900000002,30.0,0.12283561941152996,358.0851065088109,15.000000443192896,
198.0,1.501435400000001,14.924667400000002,30.0,0.12084478960795085,354.2553191178975,15.000000175366532,
199.0,2.4949402800000007,14.791053800000002,30.0,0.12220482063490715,350.42553205457614,14.999999983842033,
200.0,3.4773023100000007,14.591380100000002,30.0,0.12245658351029258,346.59574459991103,15.000000152593579,
201.0,4.444133760000001,14.326537100000001,30.0,0.12388993836938503,342.76595687111785,14.999999671814937,
202.0,5.391116620000001,13.997709300000002,30.0,0.11944443212811806,338.93617029944227,15.000000135258224,
203.0,6.314021590000001,13.606363300000002,30.0,0.12266319093129796,335.1063817937995,14.999999696352432,
204.0,7.208726410000001,13.154249200000002,30.0,0.12392560538636119,331.27659597763784,15.00000028233107,
205.0,8.071235660000001,12.643384000000001,30.0,0.12121960217987258,327.44680719692434,15.000000135023722,
206.0,8.897696500000002,12.076050800000003,30.0,0.12008522684453968,323.6170202716843,15.000000197676432,
207.0,9.684417720000003,11.454782500000002,30.0,0.11938476901800905,319.78723309292707,14.99999962325854,
208.0,10.427886000000003,10.782355300000003,30.0,0.11920067518135435,315.95744805938625,14.999999741481137,
209.0,11.124781600000002,10.061771400000001,30.0,0.1195606281978795,312.12766080420585,15.000000311785216,
210.0,11.771990800000001,9.296248440000001,30.0,0.12133955796978135,308.29787260768626,15.000000081782904,
211.0,12.366623900000002,8.489206310000002,30.0,0.12430630115352811,304.46808370605595,15.000000348593167,
212.0,12.906024000000002,7.644249440000003,30.0,0.12447683111282523,300.6382966131462,15.000000166317212,
213.0,13.387782100000003,6.765151980000002,30.0,0.12352739349185107,296.80851204641647,14.999999695652612,
214.0,13.809748600000002,5.8558392500000025,30.0,0.12244773397266981,292.97872338807423,15.000000323901418,
215.0,14.170036300000001,4.920372960000003,30.0,0.12110859035650309,289.14893659651756,14.999999960293897,
216.0,14.467037200000002,3.9629309200000025,30.0,0.12372444332320506,285.3191489677556,14.999999560762525,
217.0,14.699425700000003,2.9877898700000025,30.0,0.12295792838456801,281.4893619572127,15.000000140569838,
218.0,14.866162300000001,1.9993042900000026,30.0,0.12153581449935594,277.65957432572736,14.999999972465124,
219.0,14.966503100000002,1.0018894700000027,30.0,0.12216899721679017,273.82978711640965,14.999999918413552,
220.0,0.9810469150000027,2.8135605645881146e-15,44.9678841,0.12375373171704517,270.00000000000017,0.9810469150000027,
221.0,1.9578928900000028,2.8674839353718326e-15,44.8716736,0.12366414628101283,270.00000000000006,1.9578928900000028,
222.0,2.9263548900000025,2.9169943847941413e-15,44.7117786,0.1235152616655667,270.00000000000006,2.9263548900000025,
223.0,3.8822855900000026,2.961880133153256e-15,44.4888878,0.1233026548311271,270.00000000000006,3.8822855900000026,
224.0,4.821591850000003,3.001948816603907e-15,44.203952799999996,0.12294704080408478,270.00000000000006,4.821591850000003,
225.0,5.740251540000003,3.0370287806905217e-15,43.8581924,0.12251551344438605,270.00000000000006,5.740251540000003,
226.0,6.634330270000003,3.066969988422826e-15,43.453090700000004,0.1227426014938702,270.0,6.634330270000003,
227.0,7.500000000000003,3.091644186215485e-15,42.9903812,0.12378548072291756,270.0,7.500000000000003,
228.0,8.333553310000001,3.1109456062230434e-15,42.472044,0.12412073244486167,270.0,8.333553310000001,
229.0,9.131421090000002,3.1247917556247886e-15,41.900301,0.12396976482034539,270.0,9.131421090000002,
230.0,9.890187260000001,3.1331231851665022e-15,41.277597400000005,0.12331555241266878,270.0,9.890187260000001,
231.0,10.606601700000002,3.1359042808946175e-15,40.6066017,0.12332247069834126,270.0,10.606601700000002,
232.0,11.277597400000001,3.1331231263834555e-15,39.890186299999996,0.1236053326308984,270.0,11.277597400000001,
233.0,11.900300000000001,3.124791750113878e-15,39.131422,0.12379486485319027,270.0,11.900300000000001,
234.0,12.472044000000002,3.1109456056107205e-15,38.3335533,0.12370049464166352,270.0,12.472044000000002,
235.0,12.990381200000002,3.0916441862154847e-15,37.5,0.12355573299557257,270.0,12.990381200000002,
236.0,13.453090700000002,3.066970014752732e-15,36.6343307,0.12347454327573244,270.0,13.453090700000002,
237.0,13.858193400000001,3.0370288394735684e-15,35.7402515,0.123326259702676,270.0,13.858193400000001,
238.0,14.203951800000002,3.0019487829261202e-15,34.8215923,0.12310408696799191,270.0,14.203951800000002,
239.0,14.488887800000002,2.96188016438175e-15,33.8822861,0.1231536620244049,270.0,14.488887800000002,
240.0,14.711779600000002,2.9169944772549748e-15,32.9263554,0.1231696558684367,270.0,14.711779600000002,
241.0,14.871672600000002,2.867483905367986e-15,31.9578934,0.12333922731293759,270.0,14.871672600000002,
242.0,14.967884100000001,2.8135605514231617e-15,30.9810467,0.12363937331067618,270.0,14.967884100000001,
243.0,14.9678841,8.564467826052243e-16,-0.9810466999999994,0.145,270.0,14.9678841,
244.0,14.8716726,7.907409181087834e-16,-1.9578933999999988,0.145,270.0,14.8716726,
245.0,14.7117796,7.216491011561878e-16,-2.9263553999999976,0.145,270.0,14.7117796,
246.0,14.4888878,6.494670410867937e-16,-3.882286100000001,0.145,270.0,14.4888878,
247.0,14.2039518,5.745038265062382e-16,-4.821592299999998,0.145,270.0,14.2039518,
248.0,13.8581934,4.970805781749591e-16,-5.7402514999999985,0.145,270.0,13.8581934,
249.0,13.4530907,4.175286304077004e-16,-6.634330699999999,0.145,270.0,13.4530907,
250.0,12.9903812,3.361888881339401e-16,-7.499999999999999,0.145,270.0,12.9903812,
251.0,12.472044,2.5340946945280457e-16,-8.333553299999998,0.145,270.0,12.472044,
252.0,11.9003,1.6954487899647614e-16,-9.131422,0.145,270.0,11.9003,
253.0,11.2775974,8.495442813582546e-17,-9.8901863,0.145,270.0,11.2775974,
254.0,10.6066017,9.860761315262648e-32,-10.606601699999999,0.145,270.0,10.6066017,
255.0,9.89018726,-8.49543693527792e-17,-11.277597400000001,0.145,270.0,9.89018726,
256.0,9.13142109,-1.6954499595024555e-16,-11.900300999999999,0.145,270.0,9.13142109,
257.0,8.33355331,-2.5340946884048117e-16,-12.472044,0.145,270.0,8.33355331,
258.0,7.499999999999999,-3.361888881339403e-16,-12.990381200000002,0.145,270.0,7.499999999999999,
259.0,6.6343302699999995,-4.175286567376065e-16,-13.4530907,0.145,270.0,6.6343302699999995,
260.0,5.740251539999999,-4.970805144933256e-16,-13.8581924,0.145,270.0,5.740251539999999,
261.0,4.821591849999999,-5.745039152931309e-16,-14.2039528,0.145,270.0,4.821591849999999,
262.0,3.882285589999999,-6.494670723152871e-16,-14.4888878,0.145,270.0,3.882285589999999,
263.0,2.926354889999999,-7.216490711523412e-16,-14.711778599999999,0.145,270.0,2.926354889999999,
264.0,1.9578928899999992,-7.907410105696167e-16,-14.871673600000001,0.145,270.0,1.9578928899999992,
265.0,0.9810469149999991,-8.564467694402713e-16,-14.9678841,0.145,269.99999999999994,0.9810469149999991,
266.0,14.9665031,1.001889470000001,1.0000000000000009,0.145,273.82978711640965,14.999999918413549,
267.0,14.8661623,1.9993042900000009,1.0000000000000007,0.145,277.65957432572736,14.999999972465123,
268.0,14.6994257,2.9877898700000007,1.0000000000000007,0.145,281.4893619572127,15.000000140569837,
269.0,14.4670372,3.9629309200000007,1.0000000000000007,0.145,285.3191489677556,14.999999560762523,
270.0,14.1700363,4.920372960000001,1.0000000000000007,0.145,289.14893659651756,14.999999960293895,
271.0,13.8097486,5.855839250000001,1.0000000000000004,0.145,292.97872338807423,15.000000323901414,
272.0,13.3877821,6.765151980000001,1.0000000000000004,0.145,296.80851204641647,14.99999969565261,
273.0,12.906024,7.644249440000001,1.0000000000000004,0.145,300.6382966131462,15.00000016631721,
274.0,12.3666239,8.48920631,1.0000000000000002,0.145,304.46808370605595,15.000000348593163,
275.0,11.7719908,9.29624844,1.0,0.145,308.29787260768626,15.0000000817829,
276.0,11.1247816,10.0617714,1.0,0.145,312.12766080420585,15.000000311785213,
277.0,10.427886,10.7823553,1.0,0.145,315.95744805938625,14.999999741481135,
278.0,9.68441772,11.4547825,1.0,0.145,319.78723309292707,14.999999623258537,
279.0,8.8976965,12.0760508,0.9999999999999997,0.145,323.6170202716843,15.00000019767643,
