Node,X,Y,Z,Magnitude,Theta,Radius,Alpha
1.0,-0.8622130999999984,20.0,5.0248007800000005,0.0,3.295227723540904,15.000000103616673,1.5707963267948966
2.0,0.1399450000000024,20.0,5.000652790000001,0.0,359.46544172222553,15.000000044305327,1.5707963267948966
3.0,1.1414785000000014,20.0,5.0434956600000005,0.0,355.63565400930133,14.999999841280033,1.5707963267948966
4.0,2.137913700000002,20.0,5.153137680000001,0.0,351.8058670022575,14.999999857922782,1.5707963267948966
5.0,3.1248007000000015,20.0,5.3290891600000005,0.0,347.97607928318627,15.000000142998333,1.5707963267948966
6.0,4.0977316,20.0,5.570564750000001,0.0,344.1462913735564,15.000000196652703,1.5707963267948966
7.0,5.0523605300000005,20.0,5.876485820000001,0.0,340.31650516329324,14.999999990592098,1.5707963267948966
8.0,5.984424590000001,20.0,6.245485780000001,0.0,336.4867183763078,14.99999997005263,1.5707963267948966
9.0,6.88976097,20.0,6.675916670000001,0.0,332.6569309741884,15.000000093617306,1.5707963267948966
10.0,7.764325620000001,20.0,7.165856360000001,0.0,328.82714448073204,14.999999843518028,1.5707963267948966
11.0,8.604213240000002,20.0,7.713116170000001,0.0,324.9973574270735,14.999999991043559,1.5707963267948966
12.0,9.405672550000002,20.0,8.3152523,0.0,321.16756959323544,15.000000164349293,1.5707963267948966
13.0,10.165123460000002,20.0,8.96957588,0.0,317.33778155656364,14.99999970747067,1.5707963267948966
14.0,10.879174710000003,20.0,9.67316341,0.0,313.50799430685885,14.999999877575547,1.5707963267948966
15.0,11.544636730000002,20.0,10.4228725,0.0,309.67820938015024,15.000000279297376,1.5707963267948966
16.0,12.158537630000001,20.0,11.2153568,0.0,305.8484201310062,14.99999978171441,1.5707963267948966
17.0,12.718135830000001,20.0,12.0470743,0.0,302.0186337995935,15.000000206001676,1.5707963267948966
18.0,13.220931410000002,20.0,12.9143124,0.0,298.1888452451668,14.999999870423947,1.5707963267948966
19.0,13.664679170000001,20.0,13.8131962,0.0,294.3590588617011,14.999999935957545,1.5707963267948966
20.0,14.047397256000004,20.0,14.7397118,0.0,290.5292722538682,15.000000053831188,1.5707963267948966
21.0,14.367376208000003,20.0,15.6897211,0.0,286.69948584093225,15.000000109932992,1.5707963267948966
22.0,14.623186976000003,20.0,16.6589813,0.0,282.86969889275474,15.00000010962686,1.5707963267948966
23.0,14.813687027000004,20.0,17.6431637,0.0,279.0399104435509,15.000000022630196,1.5707963267948966
24.0,14.938025560200003,20.0,18.6378727,0.0,275.21012044933696,14.999999947286463,1.5707963267948966
25.0,14.995647244160004,20.0,19.6386642,0.0,271.3803346082713,14.999999994388173,1.5707963267948966
