1.741935628653672197e+01 2.062739517651006906e+02 8.500000000000000000e+01
1.741935613100389091e+01 2.024441539712180713e+02 8.500000000000000000e+01
1.741935708270226613e+01 1.986143873219750731e+02 8.500000000000000000e+01
1.741935689532095921e+01 1.947845908061467526e+02 8.500000000000000000e+01
1.741935583271290611e+01 1.909547924088141997e+02 8.500000000000000000e+01
1.741935544202019059e+01 1.871250240943564620e+02 8.500000000000000000e+01
1.741935653957864005e+01 1.832952273243845411e+02 8.500000000000000000e+01
1.741935793578171499e+01 1.794654305874441889e+02 8.500000000000000000e+01
1.741935568305390802e+01 1.756356651599898839e+02 8.500000000000000000e+01
1.741935607536454356e+01 1.718058638624584660e+02 8.500000000000000000e+01
1.741935749413965340e+01 1.679760678163870580e+02 8.500000000000000000e+01
1.741935750915772374e+01 1.641463020651269744e+02 8.500000000000000000e+01
1.741935708383432413e+01 1.603165029179718033e+02 8.500000000000000000e+01
1.741935699219997957e+01 1.564867086227007462e+02 8.500000000000000000e+01
1.741935637493208944e+01 1.526569383832579376e+02 8.500000000000000000e+01
1.741935636053882774e+01 1.488271411793801633e+02 8.500000000000000000e+01
1.741935637327620512e+01 1.449973452892141381e+02 8.500000000000000000e+01
1.741935702035701539e+01 1.411675804802355856e+02 8.500000000000000000e+01
1.451613056526320911e+01 2.062739541032472061e+02 8.500000000000000000e+01
1.451612902179704001e+01 2.024441543889243746e+02 8.500000000000000000e+01
1.451612996490604957e+01 1.986143849742323368e+02 8.500000000000000000e+01
1.451613050309415343e+01 1.947845906059353922e+02 8.500000000000000000e+01
1.451613003684508385e+01 1.909547917102808015e+02 8.500000000000000000e+01
1.451613031478585114e+01 1.871250245189195027e+02 8.500000000000000000e+01
1.451613018601695693e+01 1.832952280674017516e+02 8.500000000000000000e+01
1.451612926097925893e+01 1.794654306980118861e+02 8.500000000000000000e+01
1.451613056418067238e+01 1.756356645615543073e+02 8.500000000000000000e+01
1.451612984622979852e+01 1.718058639795019644e+02 8.500000000000000000e+01
1.451613115610870430e+01 1.679760675466697535e+02 8.500000000000000000e+01
1.451612955741107314e+01 1.641463026740615589e+02 8.500000000000000000e+01
1.451613017841935260e+01 1.603165076343276212e+02 8.500000000000000000e+01
1.451613088493267156e+01 1.564867097954480926e+02 8.500000000000000000e+01
1.451613010856013020e+01 1.526569409036652871e+02 8.500000000000000000e+01
1.451613136440631457e+01 1.488271413997088644e+02 8.500000000000000000e+01
1.451613078883744024e+01 1.449973456812016934e+02 8.500000000000000000e+01
1.451612980877653492e+01 1.411675804012729998e+02 8.500000000000000000e+01
