9.000000000000000000e+01 4.925267407370023420e+01 5.500000000000000444e-01
9.000000000000000000e+01 4.542288739484143889e+01 5.500000000000000444e-01
9.000000000000000000e+01 4.159310143110917579e+01 5.500000000000000444e-01
9.000000000000000000e+01 3.776331102724356015e+01 5.500000000000000444e-01
9.000000000000000000e+01 3.393352765077020194e+01 5.500000000000000444e-01
9.000000000000000000e+01 3.010373954655710804e+01 5.500000000000000444e-01
9.000000000000000000e+01 2.627395174533762656e+01 5.500000000000000444e-01
9.000000000000000000e+01 2.244416405148120930e+01 5.500000000000000444e-01
8.709677426880837459e+01 4.925265290413392449e+01 5.500000000000000444e-01
8.709677418421388495e+01 4.542288676167777339e+01 5.500000000000000444e-01
8.709677397442479219e+01 4.159311154899927487e+01 5.500000000000000444e-01
8.709677408279299016e+01 3.776329184753177515e+01 5.500000000000000444e-01
8.709677400082492227e+01 3.393352047978919472e+01 5.500000000000000444e-01
8.709677416379732051e+01 3.010375598282865894e+01 5.500000000000000444e-01
8.709677411274979875e+01 2.627392790908476172e+01 5.500000000000000444e-01
8.709677417567139912e+01 2.244416386723901269e+01 5.500000000000000444e-01
8.419354774255118912e+01 4.925265090348398189e+01 5.500000000000000444e-01
8.419354837937886771e+01 4.542288557012238925e+01 5.500000000000000444e-01
8.419354831994243682e+01 4.159311272073273358e+01 5.500000000000000444e-01
8.419354795102564992e+01 3.776329071121756442e+01 5.500000000000000444e-01
8.419354855356957046e+01 3.393352087563107489e+01 5.500000000000000444e-01
8.419354815607557896e+01 3.010375532221564754e+01 5.500000000000000444e-01
8.419354817463759844e+01 2.627392763471408443e+01 5.500000000000000444e-01
8.419354829966586351e+01 2.244416374189648877e+01 5.500000000000000444e-01
8.129032272426663042e+01 4.925265094030839919e+01 5.500000000000000444e-01
8.129032347153405169e+01 4.542288615928850959e+01 5.500000000000000444e-01
8.129032318756333098e+01 4.159311285974422390e+01 5.500000000000000444e-01
8.129032285921471157e+01 3.776329098622068159e+01 5.500000000000000444e-01
8.129032322291186574e+01 3.393352031385205692e+01 5.500000000000000444e-01
8.129032310076379986e+01 3.010375602045979804e+01 5.500000000000000444e-01
8.129032287369261667e+01 2.627392767491738823e+01 5.500000000000000444e-01
8.129032259129432703e+01 2.244416359848952425e+01 5.500000000000000444e-01
