1.496650310000000239e+01,1.001889470000002724e+00,3.000000000000000000e+01,1.449999999999999900e-01
1.486616230000000094e+01,1.999304290000002648e+00,3.000000000000000000e+01,1.449999999999999900e-01
1.469942570000000259e+01,2.987789870000002512e+00,3.000000000000000000e+01,1.449999999999999900e-01
1.446703720000000182e+01,3.962930920000002466e+00,3.000000000000000000e+01,1.449999999999999900e-01
1.417003630000000136e+01,4.920372960000002571e+00,3.000000000000000000e+01,1.449999999999999900e-01
1.380974860000000248e+01,5.855839250000002494e+00,3.000000000000000000e+01,1.449999999999999900e-01
1.338778210000000257e+01,6.765151980000002396e+00,3.000000000000000000e+01,1.449999999999999900e-01
1.290602400000000216e+01,7.644249440000002949e+00,3.000000000000000000e+01,1.449999999999999900e-01
1.236662390000000222e+01,8.489206310000001920e+00,3.000000000000000000e+01,1.449999999999999900e-01
1.177199080000000109e+01,9.296248440000001168e+00,3.000000000000000000e+01,1.449999999999999900e-01
1.112478160000000216e+01,1.006177140000000136e+01,3.000000000000000000e+01,1.449999999999999900e-01
1.042788600000000265e+01,1.078235530000000253e+01,3.000000000000000000e+01,1.449999999999999900e-01
9.684417720000002561e+00,1.145478250000000209e+01,3.000000000000000000e+01,1.449999999999999900e-01
8.897696500000002118e+00,1.207605080000000264e+01,3.000000000000000000e+01,1.449999999999999900e-01
8.071235660000001033e+00,1.264338400000000107e+01,3.000000000000000000e+01,1.449999999999999900e-01
7.208726410000000584e+00,1.315424920000000242e+01,3.000000000000000000e+01,1.449999999999999900e-01
6.314021590000001183e+00,1.360636330000000171e+01,3.000000000000000000e+01,1.449999999999999900e-01
5.391116620000000914e+00,1.399770930000000213e+01,3.000000000000000000e+01,1.449999999999999900e-01
4.444133760000000599e+00,1.432653710000000125e+01,3.000000000000000000e+01,1.449999999999999900e-01
3.477302310000000674e+00,1.459138010000000207e+01,3.000000000000000000e+01,1.449999999999999900e-01
2.494940280000000676e+00,1.479105380000000203e+01,3.000000000000000000e+01,1.449999999999999900e-01
1.501435400000000975e+00,1.492466740000000236e+01,3.000000000000000000e+01,1.449999999999999900e-01
5.012246370000009721e-01,1.499162390000000222e+01,3.000000000000000000e+01,1.449999999999999900e-01
-5.012246369999989737e-01,1.499162390000000222e+01,3.000000000000000000e+01,1.449999999999999900e-01
-1.501435399999999198e+00,1.492466740000000236e+01,3.000000000000000000e+01,1.449999999999999900e-01
-2.494940279999998900e+00,1.479105380000000203e+01,3.000000000000000000e+01,1.449999999999999900e-01
